GPSTimeOfFixUTC,Latitude,Longitude,WindSpeed,WindDirection,Temperature,Pressure,Speed m_per_s
,,,0.9,48.4,17.6,1022.60173386,
,,,0.8,54.8,17.6,1022.69993917,
,,,0.7,35.9,17.6,1022.69993917,
,,,0.4,50.3,17.6,1022.69993917,
,,,0.3,51.5,17.6,1022.69993917,
,,,0.3,12.9,17.6,1022.69993917,
,,,0.2,316.5,17.6,1022.80153087,
,,,0.3,272.2,17.6,1022.80153087,
,,,0.3,292.3,17.6,1022.89973618,
,,,0.1,137.9,17.6,1023.00132788,
,,,0.7,152.1,17.6,1023.20112489,
,,,0.9,150.3,17.6,1023.49912721,
,,,1.0,149.7,17.7,1023.69892422,
,,,0.6,156.4,17.7,1023.90210762,
,,,0.6,117.5,17.7,1024.10190463,
,,,0.4,156.2,17.7,1024.20010994,
,,,0.3,146.7,17.7,1024.30170164,
,,,0.4,201.2,17.7,1024.39990695,
,,,0.8,195.3,17.7,1024.50149865,
,,,0.9,198.2,17.7,1024.59970396,
,,,1.2,213.1,17.7,1024.79950097,
,,,1.2,220.1,17.7,1024.90109267,
,,,0.8,214.1,17.7,1025.10088968,
,,,1.2,158.9,17.7,1025.19909499,
,,,1.3,158.4,17.7,1025.30068669,
,,,0.5,90.0,17.7,1025.30068669,
,,,0.6,63.7,17.7,1025.30068669,
,,,0.4,32.8,17.7,1025.30068669,
,,,0.8,38.1,17.7,1025.30068669,
,,,0.7,57.7,17.8,1025.30068669,
,,,0.7,80.0,17.8,1025.30068669,
,,,0.5,74.6,17.8,1025.10088968,
,,,0.4,75.1,17.8,1024.99929798,
,,,0.4,100.0,17.8,1024.90109267,
,,,0.6,117.7,17.8,1024.79950097,
,,,0.2,149.8,17.8,1024.70129566,
,,,0.1,137.9,17.8,1024.59970396,
,,,0.1,223.5,17.8,1024.59970396,
,,,0.6,241.9,17.8,1024.50149865,
,,,0.5,240.5,17.8,1024.50149865,
,,,0.6,142.0,17.8,1024.30170164,
,,,0.7,158.9,17.8,1024.20010994,
,,,0.8,176.7,17.8,1024.10190463,
,,,0.9,170.1,17.8,1024.00031293,
,,,0.8,152.5,17.8,1024.00031293,
,,,0.9,162.8,17.8,1023.90210762,
,,,1.0,163.4,17.9,1023.90210762,
,,,0.7,179.4,17.9,1023.90210762,
,,,0.6,171.7,17.9,1024.00031293,
,,,0.5,172.6,17.9,1024.00031293,
,,,0.4,170.3,17.9,1024.00031293,
,,,0.5,197.0,17.9,1024.00031293,
,,,0.5,181.7,17.9,1024.00031293,
,,,0.4,194.0,17.9,1023.90210762,
,,,0.2,316.3,17.9,1023.90210762,
,,,0.4,213.4,17.9,1023.69892422,
,,,0.5,212.3,17.9,1023.60071891,
,,,0.7,206.2,17.9,1023.60071891,
,,,0.6,241.4,17.9,1023.60071891,
,,,0.9,256.6,17.9,1023.4009219,
,,,1.0,263.4,17.9,1023.2993302,
,,,0.6,274.7,17.9,1023.2993302,
,,,0.7,284.4,17.9,1023.09953319,
,,,0.7,298.0,17.9,1023.00132788,
,,,0.7,320.7,17.9,1023.00132788,
,,,0.6,320.8,18.0,1022.89973618,
,,,0.5,331.5,18.0,1022.89973618,
,,,0.7,348.4,18.0,1022.80153087,
,,,0.5,19.4,18.0,1022.80153087,
,,,0.7,11.8,18.0,1022.69993917,
,,,0.4,17.5,18.0,1022.60173386,
,,,0.5,30.7,18.0,1022.60173386,
,,,0.3,14.8,18.0,1022.50014216,
,,,0.1,48.4,18.0,1022.50014216,
,,,0.4,99.3,18.0,1022.40193685,
,,,0.4,106.3,18.0,1022.30034515,
,,,0.5,128.3,18.0,1022.20213984,
,,,0.7,129.6,18.0,1022.30034515,
,,,0.7,130.9,18.0,1022.30034515,
,,,0.7,127.8,18.0,1022.30034515,
,,,0.7,137.9,18.0,1022.30034515,
,,,0.7,148.3,18.0,1022.30034515,
,,,1.0,148.8,18.0,1022.40193685,
,,,0.9,140.7,18.0,1022.40193685,
,,,1.0,110.7,18.0,1022.50014216,
,,,1.0,117.6,18.0,1022.40193685,
,,,1.1,130.5,18.0,1022.50014216,
,,,0.9,169.4,18.1,1022.50014216,
,,,1.2,205.3,18.1,1022.60173386,
,,,1.1,170.6,18.1,1022.50014216,
,,,1.0,166.7,18.1,1022.50014216,
,,,1.1,172.9,18.1,1022.40193685,
,,,0.2,123.7,18.1,1022.30034515,
,,,0.4,348.4,18.1,1022.20213984,
,,,0.4,120.4,18.1,1022.20213984,
,,,0.8,134.5,18.1,1022.20213984,
,,,0.6,137.7,18.1,1022.10054814,
,,,0.5,156.3,18.1,1022.10054814,
,,,0.3,165.2,18.1,1022.10054814,
,,,0.3,155.6,18.1,1021.99895644,
,,,0.7,157.4,18.1,1021.90075113,
,,,1.0,164.4,18.1,1021.79915943,
,,,1.2,171.6,18.1,1021.59936242,
,,,1.2,174.1,18.2,1021.50115711,
,,,1.4,174.7,18.2,1021.39956541,
,,,1.3,174.7,18.2,1021.3013601,
,,,1.6,182.7,18.2,1021.1997684,
,,,1.2,184.0,18.2,1021.1997684,
,,,1.0,174.4,18.2,1021.1997684,
,,,0.8,183.9,18.2,1021.1997684,
,,,0.8,199.1,18.2,1021.39956541,
,,,0.9,164.4,18.2,1021.79915943,
,,,1.2,164.3,18.2,1022.20213984,
,,,1.3,174.6,18.2,1022.50014216,
,,,1.1,159.2,18.2,1022.80153087,
,,,0.9,159.2,18.2,1023.09953319,
,,,0.8,127.5,18.2,1023.4009219,
,,,0.6,156.7,18.2,1023.69892422,
,,,0.4,148.5,18.2,1023.90210762,
,,,0.3,146.7,18.2,1024.10190463,
,,,0.4,148.0,18.2,1024.20010994,
,,,0.5,171.8,18.2,1024.30170164,
,,,0.4,157.6,18.2,1024.39990695,
,,,0.3,117.1,18.3,1024.50149865,
,,,0.3,137.8,18.3,1024.39990695,
,,,0.3,137.8,18.3,1024.39990695,
,,,0.3,102.1,18.3,1024.50149865,
,,,0.3,137.9,18.3,1024.39990695,
,,,0.3,172.0,18.3,1024.39990695,
,,,0.4,118.4,18.3,1024.39990695,
,,,0.4,146.4,18.3,1024.39990695,
,,,0.4,166.7,18.3,1024.39990695,
,,,0.4,191.2,18.3,1024.39990695,
,,,0.4,192.6,18.3,1024.39990695,
,,,0.2,174.0,18.3,1024.39990695,
,,,0.1,148.7,18.3,1024.39990695,
,,,0.0,0.0,18.3,1024.30170164,
,,,0.1,22.3,18.3,1024.30170164,
,,,0.3,71.8,18.3,1024.20010994,
,,,0.3,114.3,18.3,1024.20010994,
,,,0.4,121.0,18.3,1024.20010994,
,,,0.2,162.1,18.3,1024.20010994,
,,,0.2,137.9,18.3,1024.20010994,
,,,0.3,195.3,18.3,1024.10190463,
,,,0.4,168.6,18.3,1024.10190463,
,,,0.4,192.1,18.3,1024.10190463,
,,,0.4,121.0,18.3,1024.10190463,
,,,0.3,71.4,18.3,1024.20010994,
,,,0.1,191.2,18.3,1024.20010994,
,,,0.4,155.5,18.3,1024.20010994,
,,,0.8,146.8,18.3,1024.30170164,
,,,0.8,122.1,18.3,1024.20010994,
,,,0.7,79.8,18.3,1024.10190463,
,,,1.0,76.0,18.3,1024.10190463,
,,,1.2,49.7,18.3,1024.00031293,
,,,1.0,22.0,18.3,1023.90210762,
,,,1.4,29.7,18.3,1023.90210762,
,,,1.5,25.0,18.3,1023.80051592,
,,,1.5,30.7,18.3,1023.80051592,
,,,1.5,40.4,18.3,1023.69892422,
,,,1.4,35.2,18.3,1023.60071891,
,,,1.6,36.3,18.3,1023.49912721,
,,,1.7,19.1,18.3,1023.4009219,
,,,1.4,31.3,18.3,1023.4009219,
,,,1.1,35.4,18.3,1023.20112489,
,,,1.1,44.9,18.3,1023.09953319,
,,,0.9,25.9,18.3,1023.00132788,
2023-04-11 14:58:56.800,40.35022166666667,-74.649665,1.1,12.5,18.3,1022.89973618,0.0
2023-04-11 14:58:57.800,40.35022,-74.64966333333334,0.8,20.2,18.3,1022.80153087,0.00514444
2023-04-11 14:58:58.800,40.35021666666667,-74.64966,0.8,36.2,18.3,1022.69993917,0.01028888
2023-04-11 14:58:59.800,40.350215,-74.64965833333333,0.5,36.4,18.3,1022.60173386,0.00514444
2023-04-11 14:59:00.800,40.350213333333336,-74.649655,0.4,66.5,18.3,1022.50014216,0.00514444
2023-04-11 14:59:01.800,40.35021166666667,-74.64965333333333,0.4,68.1,18.3,1022.50014216,0.01028888
2023-04-11 14:59:02.800,40.35021166666667,-74.64965,0.4,48.4,18.3,1022.50014216,0.01543332
2023-04-11 14:59:03.800,40.35021,-74.64964833333333,0.3,34.0,18.3,1022.50014216,0.02057776
2023-04-11 14:59:04.800,40.350208333333335,-74.64964666666667,0.2,2.9,18.3,1022.50014216,0.02057776
2023-04-11 14:59:05.800,40.350206666666665,-74.649645,0.2,316.1,18.3,1022.60173386,0.01028888
2023-04-11 14:59:06.800,40.350206666666665,-74.64964166666667,0.2,329.9,18.3,1022.60173386,0.00514444
2023-04-11 14:59:07.800,40.350206666666665,-74.64964166666667,0.2,316.1,18.3,1022.69993917,0.01028888
2023-04-11 14:59:08.800,40.350206666666665,-74.64964166666667,0.4,245.8,18.3,1022.80153087,0.01543332
2023-04-11 14:59:09.800,40.350208333333335,-74.64963833333333,0.5,245.3,18.3,1022.89973618,0.02057776
2023-04-11 14:59:10.800,40.350208333333335,-74.64963666666667,0.7,305.8,18.3,1023.00132788,0.02057776
2023-04-11 14:59:11.800,40.35021,-74.64963333333333,0.5,316.2,18.3,1023.00132788,0.01028888
2023-04-11 14:59:12.800,40.35021,-74.64963,0.4,324.0,18.3,1023.00132788,0.00514444
2023-04-11 14:59:13.800,40.35021,-74.64962666666666,0.4,267.2,18.4,1023.00132788,0.00514444
2023-04-11 14:59:14.800,40.350208333333335,-74.64962666666666,0.3,224.3,18.4,1022.80153087,0.01543332
2023-04-11 14:59:15.800,40.350206666666665,-74.64962666666666,0.4,203.1,18.4,1022.69993917,0.02057776
2023-04-11 14:59:16.800,40.350205,-74.64962666666666,0.6,212.2,18.4,1022.50014216,0.02057776
2023-04-11 14:59:17.800,40.350205,-74.64962666666666,0.3,227.9,18.4,1022.30034515,0.01543332
2023-04-11 14:59:18.800,40.35020333333333,-74.64962666666666,0.4,192.3,18.4,1022.20213984,0.00514444
2023-04-11 14:59:19.800,40.35020166666666,-74.64962666666666,0.6,193.3,18.4,1021.99895644,0.0
2023-04-11 14:59:20.800,40.35020166666666,-74.64962666666666,0.5,182.0,18.4,1021.90075113,0.0
2023-04-11 14:59:21.800,40.3502,-74.64962666666666,0.4,182.6,18.4,1021.79915943,0.0
2023-04-11 14:59:22.800,40.3502,-74.64962833333334,0.5,189.7,18.4,1021.70095412,0.00514444
2023-04-11 14:59:23.800,40.3502,-74.64962833333334,0.3,207.2,18.4,1021.70095412,0.00514444
2023-04-11 14:59:24.800,40.3502,-74.64963,0.5,209.0,18.4,1021.70095412,0.00514444
